ticker,share_rows,error
AAL,575,
ADSK,455,
ALB,596,
ALGN,577,
AMAT,578,
AMD,600,
AMG,601,
AMP,544,
ANET,520,
APA,546,
APP,453,
AVGO,692,
BA,600,
BAC,613,
BEN,573,
BLDR,566,
C,611,
CCL,460,
CFG,567,
CIEN,538,
COHR,505,
COIN,399,
CRWD,564,
CVNA,193,
CZR,553,
DELL,539,
DVN,407,
DXC,538,
ENPH,574,
EPAM,550,
ETSY,570,
FANG,613,
FCX,560,
FIX,583,
FLEX,508,
FTNT,550,
GEV,262,
GLW,593,
GNRC,600,
HAL,566,
HOOD,388,
IBKR,306,
INTC,445,
IVZ,532,
JBL,548,
KEY,506,
KLAC,546,
KMI,550,
LITE,355,
LNC,584,
LRCX,409,
MCHP,577,
MGM,565,
MPC,531,
MPWR,401,
MRVL,381,
MS,540,
MU,611,
MUR,534,
NCLH,577,
NRG,606,
NUE,522,
NVDA,294,
NXPI,570,
ON,571,
ORCL,405,
OXY,544,
PENN,529,
PLTR,440,
PVH,523,
QCOM,332,
QRVO,552,
RCL,557,
RF,541,
RIG,566,
SCHW,580,
SEDG,577,
SMCI,444,
SNDK,129,
SNPS,522,
STX,573,
SWKS,560,
TER,567,
TSLA,566,
UAL,524,
URI,547,
VRT,365,
VST,566,
WDC,552,
WMB,577,
WYNN,556,
XYZ,87,
ZION,516,
