session,model_version,equity,cash,market_value,exposure,open_positions
2026-08-17,fast-rebound-v1-frozen,100000.0,100000.0,0,0.0,0
2026-08-18,fast-rebound-v1-frozen,100000.0,100000.0,0,0.0,0
2026-08-19,fast-rebound-v1-frozen,95190.60677075369,33.30465183565684,95157.30211891803,0.9996501266987838,3
2026-08-20,fast-rebound-v1-frozen,93678.1310657017,30794.78338399409,62883.347681707615,0.6712703057408779,2
2026-08-21,fast-rebound-v1-frozen,91810.85263129187,30751.232591160348,61059.620040131515,0.6650588496911592,2
2026-08-24,fast-rebound-v1-frozen,89638.12770220806,59440.4007869364,30197.726915271665,0.33688484676513164,1
2026-08-25,fast-rebound-v1-frozen,88403.35345572581,-3.637978807091713e-12,88403.35345572581,1.0,3
2026-08-26,fast-rebound-v1-frozen,89979.73855887627,-3.637978807091713e-12,89979.73855887627,1.0,3
2026-08-27,fast-rebound-v1-frozen,89682.5844850915,-3.637978807091713e-12,89682.5844850915,1.0,3
2026-08-28,fast-rebound-v1-frozen,nan,-3.637978807091713e-12,nan,nan,3
2026-08-31,fast-rebound-v1-frozen,89192.11774769647,31673.792634612368,57518.3251130841,0.6448812581823645,2
2026-09-01,fast-rebound-v1-frozen,87784.737645383,58710.62224142959,29074.1154039534,0.3311978389842866,1
2026-09-02,fast-rebound-v1-frozen,87499.11128663195,58710.62224142959,28788.489045202357,0.3290146450847512,1
2026-09-03,fast-rebound-v1-frozen,nan,58710.62224142959,nan,nan,1
2026-09-04,fast-rebound-v1-frozen,89530.46403038895,58710.62224142959,30819.84178895935,0.3442386021644912,1
